번호,매출키,지점,구분,매출구분,이용항목,이용개월,할인금액,결제금액,결제수단,카드사,"결제금액
과세","결제금액
면세",결제일,이용시작일,이용종료일,결제구분,제휴쿠폰(주문)번호,프로모션 할인,기타 특이사항,회원키
129,1031417,26호,좌석매출,매출,포커스석,1,0,87000,카드,신한카드,87000,0,2021-03-01,2021-03-03,2021-04-01,키오스크결제,,,,10784
130,1031419,10호,좌석매출,매출,1day,0,0,9000,카드,KB체크카드,0,9000,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,3923
131,1031419,10호,좌석매출,매출,1day,0,0,4000,카드,KB체크카드,4000,0,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,3923
132,1031420,05호,좌석매출,매출,메가석,1,0,144000,카드,삼성카드사,0,144000,2021-03-01,2021-03-02,2021-04-01,온라인결제,,,,1825
133,1031420,05호,좌석매출,매출,메가석,1,0,61000,카드,삼성카드사,61000,0,2021-03-01,2021-03-02,2021-04-01,온라인결제,,,,1825
134,1031424,09호,좌석매출,매출,자유석,1,0,178000,카드,현대카드사,0,178000,2021-03-01,2021-03-01,2021-03-30,온라인결제,,,,3563
135,1031424,09호,좌석매출,매출,자유석,1,0,52000,카드,현대카드사,52000,0,2021-03-01,2021-03-01,2021-03-30,온라인결제,,,,3563
136,1031425,17호,좌석매출,매출,1day,0,0,9000,카드,신한카드체크,0,9000,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,6885
137,1031425,17호,좌석매출,매출,1day,0,0,4000,카드,신한카드체크,4000,0,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,6885
138,1031427,10호,좌석매출,매출,자유석,1,0,144000,카드,삼성비자,0,144000,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,4245
139,1031427,10호,좌석매출,매출,자유석,1,0,26000,카드,삼성비자,26000,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,4245
140,1031435,21호,좌석매출,매출,고정석,1,0,144000,카드,삼성 마스타,0,144000,2021-03-01,2021-03-01,2021-03-31,키오스크결제,,,,8575
141,1031435,21호,좌석매출,매출,고정석,1,0,86000,카드,삼성 마스타,86000,0,2021-03-01,2021-03-01,2021-03-31,키오스크결제,,,,8575
142,1031440,33호,좌석매출,매출,자유석,1,0,144000,카드,삼성아멕스,0,144000,2021-03-01,2021-03-01,2021-04-02,키오스크결제,,,,14449
143,1031440,33호,좌석매출,매출,자유석,1,0,21000,카드,삼성아멕스,21000,0,2021-03-01,2021-03-01,2021-04-02,키오스크결제,,,,14449
144,1031467,08호,좌석매출,매출,자유석,1,0,145000,카드,삼성카드,0,145000,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,3187
145,1031467,08호,좌석매출,매출,자유석,1,0,35000,카드,삼성카드,35000,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,3187
146,1031487,02호,좌석매출,매출,자유석,1,0,178000,카드,KB국민카드,0,178000,2021-03-01,2021-03-04,2021-04-02,온라인결제,,,,485
147,1031487,02호,좌석매출,매출,자유석,1,0,17000,카드,KB국민카드,17000,0,2021-03-01,2021-03-04,2021-04-02,온라인결제,,,,485
148,1031494,40호,좌석매출,매출,셀석,1,0,135000,카드,우리체크,0,135000,2021-03-01,2021-03-06,2021-04-04,키오스크결제,,,,17543
149,1031497,25호,좌석매출,매출,고정석,1,0,145000,카드,하나카드,0,145000,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,10345
150,1031497,25호,좌석매출,매출,고정석,1,0,65000,카드,하나카드,65000,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,10345
151,1031498,31호,좌석매출,매출,1day,0,0,6000,카드,신한JCB개인,0,6000,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,13197
152,1031498,31호,좌석매출,매출,1day,0,0,7000,카드,신한JCB개인,7000,0,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,13197
153,1031501,22호,좌석매출,매출,자유석,1,0,135000,카드,KB국민카드,0,135000,2021-03-01,2021-03-04,2021-04-02,온라인결제,,,,9126
154,1031501,22호,좌석매출,매출,자유석,1,0,15000,카드,KB국민카드,15000,0,2021-03-01,2021-03-04,2021-04-02,온라인결제,,,,9126
155,1031508,22호,좌석매출,매출,고정석,1,0,135000,카드,KB국민카드,0,135000,2021-03-01,2021-03-04,2021-04-02,온라인결제,,,,9084
